Fall Term,Enrollment Type Code,Enrollment Type Description,Head Count,Full-time Equivalent (FTE) Enrollment
Fall 2019,1,Transfer,24150,
Fall 2019,1,Transfer,24150,
Fall 2019,1,Transfer,24150,
Fall 2019,2,First-time Freshmen,40522,
Fall 2019,2,First-time Freshmen,40522,
Fall 2019,2,First-time Freshmen,40522,
Fall 2019,3,Graduate,30162,20248
Fall 2019,3,Graduate,30162,20248
Fall 2019,3,Graduate,30162,20248
Fall 2019,4,Undergraduate,241080,184147
Fall 2019,4,Undergraduate,241080,184147
Fall 2019,4,Undergraduate,241080,184147
Fall 2019,5,Total,271242,204395
Fall 2019,5,Total,271242,204395
Fall 2019,5,Total,271242,204395
Fall 2018,1,Transfer,25061,
Fall 2018,2,First-time Freshmen,39660,
Fall 2018,3,Graduate,29955,19633
Fall 2018,4,Undergraduate,244951,187317
Fall 2018,5,Total,274906,206950
Fall 2017,1,Transfer,25879,
Fall 2017,2,First-time Freshmen,38162,
Fall 2017,3,Graduate,29679,19522
Fall 2017,4,Undergraduate,244420,186338
Fall 2017,5,Total,274099,205860
Fall 2016,1,Transfer,25492,
Fall 2016,2,First-time Freshmen,36903,
Fall 2016,3,Graduate,29431,19257
Fall 2016,4,Undergraduate,243526,185080
Fall 2016,5,Total,272957,204337
Fall 2015,1,Transfer,25548,
Fall 2015,2,First-time Freshmen,37435,
Fall 2015,3,Graduate,29078,18927
Fall 2015,4,Undergraduate,245279,185491
Fall 2015,5,Total,274357,204418
Fall 2014,1,Transfer,24997,
Fall 2014,2,First-time Freshmen,37375,
Fall 2014,3,Graduate,29486,18979
Fall 2014,4,Undergraduate,245646,185017
Fall 2014,5,Total,275132,203996
Fall 2013,1,Transfer,22864,
Fall 2013,2,First-time Freshmen,35622,
Fall 2013,3,Graduate,30400,19485
Fall 2013,4,Undergraduate,239497,180473
Fall 2013,5,Total,269897,199958
Fall 2012,1,Transfer,21683,
Fall 2012,2,First-time Freshmen,35616,
Fall 2012,3,Graduate,31377,19873
Fall 2012,4,Undergraduate,237737,180163
Fall 2012,5,Total,269114,200036
