Point_time,AUGEVolume,AUGEASTLEVANALOG,AUGWVOLUME,AUGWESTLEVANALOG,ASHREL,SICRESVOLUME,SICRESELEVANALOG,STPALBFLW,RECRESVOLUME,RECRESELEVANALOG,RECREL,NICRESVOLUME,NICRESELEVANALOG,NICNTHFLW,NICSTHFLW,NICCONFLW,EDIRESVOLUME,EDIRESELEVANALOG,EDRNTHFLW,EDRSTHFLW,EDRCONFLW,WDIRESVOLUME,WDIRESELEVANALOG,WDRFLW
02/01/2019,75.04,585.17,39.67,584.65,619,16.81,1125.75,48.30,47.33,836.77,10.21,35.21,1440.08,58.00,64.8,0.00,142.01,1279.56,225.80,225.60,0.00,88.91,1146.33,959.20
02/02/2019,74.48,584.98,39.5,584.38,619,16.82,1125.75,64.60,47.19,836.57,10.21,35.21,1440.09,58.10,64.8,0.00,141.62,1279.35,225.90,226.10,0.00,88.49,1146.05,967.40
02/03/2019,73.88,584.62,39.34,584.21,598,16.84,1125.75,68.10,47.09,836.42,10.19,35.22,1440.1,58.10,64.8,0.00,141.25,1279.15,225.70,226.00,0.00,88.16,1145.83,965.70
02/04/2019,73.31,584.26,39.17,584.04,586,16.93,1125.81,62.50,46.99,836.27,10.2,35.23,1440.12,58.10,64.9,0.00,140.94,1278.98,225.70,225.60,0.00,87.91,1145.66,966.50
02/05/2019,72.76,583.9,39.19,583.85,584,17.16,1126.03,57.50,46.96,836.2,10.19,35.27,1440.19,58.00,64.9,0.00,140.92,1278.97,225.80,225.50,0.00,88.24,1145.88,960.30
02/06/2019,72.26,583.55,39.52,583.88,583,17.25,1126.70,49.40,47.09,836.42,10.19,35.28,1440.21,58.10,64.9,0.00,141.22,1279.13,225.70,225.80,0.00,88.64,1146.15,964.20
02/07/2019,71.79,583.25,40.15,584.23,443,17.41,1126.70,20.80,47.37,836.84,10.17,35.42,1440.49,58.00,64.9,0.00,142.2,1279.69,225.70,226.30,0.00,89.94,1147.02,965.60
02/08/2019,71.32,582.96,41.36,584.91,412,17.4,1127.40,5.30,47.77,837.43,10.14,35.46,1440.56,58.00,65,0.00,143.64,1280.45,225.90,226.20,0.00,92.31,1148.62,966.50
02/09/2019,70.77,582.66,42.08,586.14,412,17.15,1127.40,1.50,47.89,837.62,10.08,35.38,1440.42,57.90,65,0.00,143.9,1280.57,225.80,226.30,0.00,93.38,1149.33,969.90
02/10/2019,70.21,582.31,42.58,586.9,412,17.08,1127.40,1.20,47.95,837.71,10.02,35.33,1440.31,58.00,65,0.00,143.8,1280.53,225.90,226.10,0.00,93.95,1149.71,975.30
02/11/2019,69.85,581.96,42.92,587.41,409,17,1127.40,1.20,47.95,837.7,9.97,35.31,1440.27,58.10,65,0.00,143.56,1280.4,225.90,226.00,0.00,94.26,1149.92,965.10
02/12/2019,69.68,581.74,43.26,587.77,409,16.95,1126.11,1.20,47.77,837.43,9.88,35.3,1440.26,58.10,64.9,0.00,143.47,1280.34,225.60,225.80,0.00,94.43,1150.03,966.90
02/13/2019,69.68,581.63,43,588.12,408,16.94,1126.11,1.20,47.4,836.88,9.84,35.27,1440.19,58.00,64.9,0.00,143.25,1280.23,225.80,226.30,0.00,94.41,1150.02,965.60
02/14/2019,69.58,581.63,42.58,587.82,407,16.92,1126.11,12.60,47.15,836.5,9.87,35.26,1440.17,58.00,64.9,0.00,143.16,1280.16,225.80,226.10,0.00,94.27,1149.92,965.00
02/15/2019,69.52,581.57,42.37,587.42,405,16.95,1126.01,24.20,47.17,836.54,9.87,35.25,1440.17,58.00,64.9,0.00,142.9,1280.04,225.80,225.90,0.00,94.07,1149.79,966.20
02/16/2019,69.4,581.53,42.14,587.19,251,16.88,1126.01,36.60,47.21,836.59,9.84,35.24,1440.14,58.10,64.9,0.00,142.79,1279.98,225.90,226.00,0.00,93.84,1149.64,964.40
02/17/2019,69.32,581.46,41.92,586.96,198,16.87,1126.01,53.90,47.25,836.65,9.87,35.24,1440.15,58.10,64.9,0.00,142.55,1279.85,225.80,225.90,0.00,93.5,1149.41,977.00
02/18/2019,69.23,581.41,41.65,586.74,202,16.81,1126.01,61.80,47.26,836.67,9.91,35.23,1440.12,57.90,64.9,0.00,142.25,1279.69,225.80,226.00,0.00,93.07,1149.12,975.30
02/19/2019,69.09,581.35,41.44,586.47,202,16.78,1126.01,64.60,47.26,836.67,9.97,35.21,1440.09,57.90,64.9,0.00,141.81,1279.45,225.90,225.90,0.00,92.53,1148.76,973.60
02/20/2019,69.06,581.27,41.25,586.25,122,16.79,1125.58,64.90,47.27,836.69,9.97,35.21,1440.08,57.90,64.9,0.00,141.49,1279.28,225.70,225.70,0.00,92.05,1148.44,969.50
02/21/2019,68.99,581.24,41.08,586.06,96,16.8,1125.62,76.50,47.29,836.72,9.99,35.21,1440.08,58.00,64.9,0.00,141.16,1279.1,225.60,225.50,0.00,91.59,1148.13,968.90
02/22/2019,68.93,581.19,40.89,585.87,58,16.77,1125.72,86.50,47.29,836.72,10.03,35.2,1440.06,58.10,64.9,0.00,140.75,1278.88,225.80,225.70,0.00,91.05,1147.77,965.00
02/23/2019,68.89,581.16,40.74,585.68,46,16.77,1125.72,89.40,47.34,836.79,10,35.19,1440.05,58.10,64.8,0.00,140.4,1278.69,225.80,225.50,0.00,90.5,1147.40,964.00
02/24/2019,68.85,581.14,40.76,585.53,48,16.88,1125.72,90.20,47.45,836.94,10.01,35.24,1440.18,58.00,64.8,0.00,140.11,1278.52,225.70,225.50,0.00,90.05,1147.18,970.80
02/25/2019,68.76,581.11,40.66,585.58,48,16.81,1125.72,89.80,47.43,836.93,10.03,35.23,1440.12,58.10,64.9,0.00,139.7,1278.31,225.80,225.80,0.00,89.77,1146.91,971.10
02/26/2019,68.69,581.05,40.52,585.46,47,16.74,1125.68,89.30,47.43,836.93,10.01,35.2,1440.07,58.20,64.9,0.00,139.26,1278.07,225.80,225.90,0.00,89.22,1146.54,968.20
02/27/2019,68.65,581.01,40.38,585.3,47,16.75,1125.51,90.20,47.39,836.87,10,35.16,1439.98,58.10,64.9,0.00,138.81,1277.81,225.90,225.80,0.00,88.65,1146.16,956.50
