VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,02/03/2021 12:03:44 AM,02/03/2021 12:17:51 AM,N,1,166,142,1,2.77,12.5,0.5,0.5,2.48,0,,0.3,19.03,1,1,2.75
2,02/03/2021 12:05:09 AM,02/03/2021 12:11:38 AM,N,1,75,75,1,1.15,6.5,0.5,0.5,1.95,0,,0.3,9.75,1,1,0
2,02/03/2021 12:09:26 AM,02/03/2021 12:12:39 AM,N,1,75,74,1,1.41,6,0.5,0.5,1.46,0,,0.3,8.76,1,1,0
2,02/03/2021 12:18:16 AM,02/03/2021 12:33:00 AM,N,1,43,127,1,6.19,19.5,0.5,0.5,4.16,0,,0.3,24.96,1,1,0
2,02/03/2021 12:19:05 AM,02/03/2021 12:32:46 AM,N,5,168,69,1,2.74,12,0,0,0,0,,0.3,12.3,2,2,0
2,02/03/2021 12:19:48 AM,02/03/2021 12:24:50 AM,N,1,75,43,1,1.09,6,0.5,0.5,0,0,,0.3,7.3,1,1,0
2,02/03/2021 12:25:19 AM,02/03/2021 12:43:16 AM,N,1,166,126,1,4.18,16,0.5,0.5,3.46,0,,0.3,20.76,1,1,0
,02/03/2021 12:26:00 AM,02/03/2021 12:40:00 AM,,,151,68,,5.08,29.45,2.75,0,0,0,,0.3,32.5,,,
2,02/03/2021 12:40:42 AM,02/03/2021 12:54:41 AM,N,1,244,143,1,5.57,18,0.5,0.5,5.51,0,,0.3,27.56,1,1,2.75
2,02/03/2021 01:01:18 AM,02/03/2021 01:16:55 AM,N,1,74,126,1,3.79,14.5,0.5,0.5,4.74,0,,0.3,20.54,1,1,0
,02/03/2021 01:08:00 AM,02/03/2021 01:31:00 AM,,,82,189,,8.78,25.08,0,0,0,0,,0.3,25.38,,,
,02/03/2021 01:14:00 AM,02/03/2021 01:15:00 AM,,,95,95,,0,17.75,0,0,0,0,,0.3,18.05,,,
,02/03/2021 01:16:00 AM,02/03/2021 01:37:00 AM,,,92,191,,8.34,39.95,2.75,0,0,0,,0.3,43,,,
